,date,Uber,metroid
441,2021-01-17,39,US-CA-862
442,2021-01-24,49,US-CA-862
443,2021-01-31,31,US-CA-862
444,2021-02-07,55,US-CA-862
445,2021-02-14,68,US-CA-862
446,2021-02-21,62,US-CA-862
447,2021-02-28,57,US-CA-862
448,2021-03-07,80,US-CA-862
449,2021-03-14,79,US-CA-862
450,2021-03-21,27,US-CA-862
451,2021-03-28,74,US-CA-862
452,2021-04-04,67,US-CA-862
453,2021-04-11,64,US-CA-862
454,2021-04-18,51,US-CA-862
455,2021-04-25,47,US-CA-862
456,2021-05-02,62,US-CA-862
457,2021-05-09,63,US-CA-862
458,2021-05-16,70,US-CA-862
459,2021-05-23,52,US-CA-862
460,2021-05-30,50,US-CA-862
461,2021-06-06,41,US-CA-862
462,2021-06-13,80,US-CA-862
463,2021-06-20,42,US-CA-862
464,2021-06-27,68,US-CA-862
465,2021-07-04,61,US-CA-862
466,2021-07-11,62,US-CA-862
467,2021-07-18,80,US-CA-862
468,2021-07-25,52,US-CA-862
469,2021-08-01,55,US-CA-862
470,2021-08-08,51,US-CA-862
471,2021-08-15,43,US-CA-862
472,2021-08-22,85,US-CA-862
473,2021-08-29,43,US-CA-862
474,2020-03-01,91,US-MI-505
475,2020-03-08,66,US-MI-505
476,2020-03-15,100,US-MI-505
477,2020-03-22,72,US-MI-505
478,2020-03-29,57,US-MI-505
479,2020-04-05,52,US-MI-505
480,2020-04-12,44,US-MI-505
481,2020-04-19,36,US-MI-505
482,2020-04-26,57,US-MI-505
483,2020-05-03,70,US-MI-505
484,2020-05-10,63,US-MI-505
485,2020-05-17,76,US-MI-505
486,2020-05-24,49,US-MI-505
487,2020-05-31,38,US-MI-505
488,2020-06-07,49,US-MI-505
489,2020-06-14,53,US-MI-505
490,2020-06-21,67,US-MI-505
491,2020-06-28,57,US-MI-505
492,2020-07-05,66,US-MI-505
493,2020-07-12,58,US-MI-505
494,2020-07-19,42,US-MI-505
495,2020-07-26,47,US-MI-505
496,2020-08-02,44,US-MI-505
497,2020-08-09,37,US-MI-505
498,2020-08-16,63,US-MI-505
499,2020-08-23,45,US-MI-505
500,2020-08-30,23,US-MI-505
501,2020-09-06,41,US-MI-505
502,2020-09-13,65,US-MI-505
503,2020-09-20,58,US-MI-505
504,2020-09-27,67,US-MI-505
505,2020-10-04,28,US-MI-505
506,2020-10-11,40,US-MI-505
507,2020-10-18,50,US-MI-505
508,2020-10-25,49,US-MI-505
509,2020-11-01,60,US-MI-505
510,2020-11-08,70,US-MI-505
511,2020-11-15,67,US-MI-505
512,2020-11-22,48,US-MI-505
513,2020-11-29,55,US-MI-505
514,2020-12-06,56,US-MI-505
515,2020-12-13,62,US-MI-505
516,2020-12-20,42,US-MI-505
517,2020-12-27,57,US-MI-505
518,2021-01-03,40,US-MI-505
519,2021-01-10,51,US-MI-505
520,2021-01-17,51,US-MI-505
521,2021-01-24,51,US-MI-505
522,2021-01-31,60,US-MI-505
523,2021-02-07,55,US-MI-505
524,2021-02-14,74,US-MI-505
525,2021-02-21,80,US-MI-505
526,2021-02-28,39,US-MI-505
527,2021-03-07,48,US-MI-505
528,2021-03-14,40,US-MI-505
529,2021-03-21,81,US-MI-505
530,2021-03-28,84,US-MI-505
531,2021-04-04,43,US-MI-505
532,2021-04-11,40,US-MI-505
533,2021-04-18,53,US-MI-505
534,2021-04-25,46,US-MI-505
535,2021-05-02,56,US-MI-505
536,2021-05-09,51,US-MI-505
537,2021-05-16,63,US-MI-505
538,2021-05-23,36,US-MI-505
539,2021-05-30,46,US-MI-505
540,2021-06-06,49,US-MI-505
541,2021-06-13,54,US-MI-505
542,2021-06-20,60,US-MI-505
543,2021-06-27,57,US-MI-505
544,2021-07-04,38,US-MI-505
545,2021-07-11,51,US-MI-505
546,2021-07-18,41,US-MI-505
547,2021-07-25,49,US-MI-505
548,2021-08-01,38,US-MI-505
549,2021-08-08,47,US-MI-505
550,2021-08-15,60,US-MI-505
551,2021-08-22,56,US-MI-505
552,2021-08-29,35,US-MI-505
553,2020-03-01,84,US-CO-751
554,2020-03-08,74,US-CO-751
555,2020-03-15,82,US-CO-751
556,2020-03-22,90,US-CO-751
557,2020-03-29,69,US-CO-751
558,2020-04-05,62,US-CO-751
559,2020-04-12,66,US-CO-751
560,2020-04-19,47,US-CO-751
561,2020-04-26,54,US-CO-751
562,2020-05-03,81,US-CO-751
563,2020-05-10,51,US-CO-751
564,2020-05-17,68,US-CO-751
565,2020-05-24,58,US-CO-751
566,2020-05-31,64,US-CO-751
567,2020-06-07,43,US-CO-751
568,2020-06-14,71,US-CO-751
569,2020-06-21,55,US-CO-751
570,2020-06-28,56,US-CO-751
571,2020-07-05,53,US-CO-751
572,2020-07-12,68,US-CO-751
573,2020-07-19,48,US-CO-751
574,2020-07-26,46,US-CO-751
575,2020-08-02,59,US-CO-751
